"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2016-02-05 19:16:42 +01:00"

Year,"Country / territory of asylum/residence",Origin,"Population type",Value
2002,Germany,Mozambique,"Refugees (incl. refugee-like situations)",87
2002,Germany,Mauritania,Asylum-seekers,37
2002,Germany,Mauritania,"Refugees (incl. refugee-like situations)",72
2002,Germany,Mauritius,"Refugees (incl. refugee-like situations)",4
2002,Germany,Malawi,"Refugees (incl. refugee-like situations)",11
2002,Germany,Malaysia,"Refugees (incl. refugee-like situations)",23
2002,Germany,Namibia,"Refugees (incl. refugee-like situations)",13
2002,Germany,Niger,Asylum-seekers,47
2002,Germany,Niger,"Refugees (incl. refugee-like situations)",307
2002,Germany,Nigeria,Asylum-seekers,377
2002,Germany,Nigeria,"Refugees (incl. refugee-like situations)",1306
2002,Germany,Nicaragua,"Refugees (incl. refugee-like situations)",12
2002,Germany,Netherlands,"Refugees (incl. refugee-like situations)",27
2002,Germany,Norway,"Refugees (incl. refugee-like situations)",4
2002,Germany,Nepal,Asylum-seekers,165
2002,Germany,Nepal,"Refugees (incl. refugee-like situations)",390
2002,Germany,"New Zealand","Refugees (incl. refugee-like situations)",2
2002,Germany,Oman,"Refugees (incl. refugee-like situations)",7
2002,Germany,Pakistan,Asylum-seekers,615
2002,Germany,Pakistan,"Refugees (incl. refugee-like situations)",9254
2002,Germany,Panama,"Refugees (incl. refugee-like situations)",6
2002,Germany,Peru,Asylum-seekers,3
2002,Germany,Peru,"Refugees (incl. refugee-like situations)",371
2002,Germany,Philippines,"Refugees (incl. refugee-like situations)",141
2002,Germany,"Papua New Guinea","Refugees (incl. refugee-like situations)",1
2002,Germany,Poland,Asylum-seekers,12
2002,Germany,Poland,"Refugees (incl. refugee-like situations)",15182
2002,Germany,"Dem. People's Rep. of Korea",Asylum-seekers,38
2002,Germany,"Dem. People's Rep. of Korea","Refugees (incl. refugee-like situations)",225
2002,Germany,Portugal,"Refugees (incl. refugee-like situations)",50
2002,Germany,Paraguay,"Refugees (incl. refugee-like situations)",15
2002,Germany,Qatar,"Refugees (incl. refugee-like situations)",3
2002,Germany,Romania,Asylum-seekers,46
2002,Germany,Romania,"Refugees (incl. refugee-like situations)",4251
2002,Germany,"Russian Federation",Asylum-seekers,2351
2002,Germany,"Russian Federation","Refugees (incl. refugee-like situations)",44284
2002,Germany,Rwanda,Asylum-seekers,17
2002,Germany,Rwanda,"Refugees (incl. refugee-like situations)",562
2002,Germany,"Saudi Arabia","Refugees (incl. refugee-like situations)",31
2002,Germany,Sudan,Asylum-seekers,160
2002,Germany,Sudan,"Refugees (incl. refugee-like situations)",1362
2002,Germany,Senegal,Asylum-seekers,12
2002,Germany,Senegal,"Refugees (incl. refugee-like situations)",140
2002,Germany,Singapore,Asylum-seekers,1
2002,Germany,Singapore,"Refugees (incl. refugee-like situations)",3
2002,Germany,"Sierra Leone",Asylum-seekers,177
2002,Germany,"Sierra Leone","Refugees (incl. refugee-like situations)",2191
2002,Germany,"El Salvador","Refugees (incl. refugee-like situations)",43
2002,Germany,Somalia,Asylum-seekers,109
2002,Germany,Somalia,"Refugees (incl. refugee-like situations)",3881
2002,Germany,"Serbia and Kosovo (S/RES/1244 (1999))",Asylum-seekers,5580
2002,Germany,"Serbia and Kosovo (S/RES/1244 (1999))","Refugees (incl. refugee-like situations)",183170
2002,Germany,"Serbia and Kosovo (S/RES/1244 (1999))",Returnees,5290
2002,Germany,"Sao Tome and Principe","Refugees (incl. refugee-like situations)",3
2002,Germany,Slovakia,Asylum-seekers,118
2002,Germany,Slovakia,"Refugees (incl. refugee-like situations)",334
2002,Germany,Slovenia,Asylum-seekers,2
2002,Germany,Slovenia,"Refugees (incl. refugee-like situations)",140
2002,Germany,Sweden,"Refugees (incl. refugee-like situations)",20
2002,Germany,Swaziland,"Refugees (incl. refugee-like situations)",3
2002,Germany,Seychelles,"Refugees (incl. refugee-like situations)",2
2002,Germany,"Syrian Arab Rep.",Asylum-seekers,1279
2002,Germany,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",14398
2002,Germany,Chad,Asylum-seekers,12
2002,Germany,Chad,"Refugees (incl. refugee-like situations)",47
2002,Germany,Togo,Asylum-seekers,841
2002,Germany,Togo,"Refugees (incl. refugee-like situations)",5743
2002,Germany,Thailand,Asylum-seekers,1
2002,Germany,Thailand,"Refugees (incl. refugee-like situations)",242
2002,Germany,Tajikistan,Asylum-seekers,14
2002,Germany,Tajikistan,"Refugees (incl. refugee-like situations)",291
2002,Germany,Turkmenistan,Asylum-seekers,19
2002,Germany,Turkmenistan,"Refugees (incl. refugee-like situations)",519
2002,Germany,Tonga,"Refugees (incl. refugee-like situations)",7
2002,Germany,"Trinidad and Tobago","Refugees (incl. refugee-like situations)",5
2002,Germany,Tunisia,Asylum-seekers,65
2002,Germany,Tunisia,"Refugees (incl. refugee-like situations)",1047
2002,Germany,Turkey,Asylum-seekers,5744
2002,Germany,Turkey,"Refugees (incl. refugee-like situations)",148983
2002,Germany,"United Rep. of Tanzania",Asylum-seekers,13
2002,Germany,"United Rep. of Tanzania","Refugees (incl. refugee-like situations)",28
2002,Germany,Uganda,Asylum-seekers,48
2002,Germany,Uganda,"Refugees (incl. refugee-like situations)",336
2002,Germany,Ukraine,Asylum-seekers,245
2002,Germany,Ukraine,"Refugees (incl. refugee-like situations)",53502
2002,Germany,Uruguay,"Refugees (incl. refugee-like situations)",9
2002,Germany,"United States of America",Asylum-seekers,2
2002,Germany,"United States of America","Refugees (incl. refugee-like situations)",182
2002,Germany,Uzbekistan,Asylum-seekers,40
2002,Germany,Uzbekistan,"Refugees (incl. refugee-like situations)",2940
2002,Germany,"Venezuela (Bolivarian Republic of)",Asylum-seekers,4
2002,Germany,"Venezuela (Bolivarian Republic of)","Refugees (incl. refugee-like situations)",24
2002,Germany,"Viet Nam",Asylum-seekers,659
2002,Germany,"Viet Nam","Refugees (incl. refugee-like situations)",26888
2002,Germany,Stateless,Asylum-seekers,81
2002,Germany,Stateless,"Refugees (incl. refugee-like situations)",6533
2002,Germany,Various/Unknown,Asylum-seekers,115374
2002,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",94944
2002,Germany,Yemen,Asylum-seekers,30
2002,Germany,Yemen,"Refugees (incl. refugee-like situations)",358
2002,Germany,"South Africa",Asylum-seekers,2
2002,Germany,"South Africa","Refugees (incl. refugee-like situations)",91
2002,Germany,Zambia,Asylum-seekers,1
2002,Germany,Zambia,"Refugees (incl. refugee-like situations)",11
2002,Germany,Zimbabwe,Asylum-seekers,19
2002,Germany,Zimbabwe,"Refugees (incl. refugee-like situations)",27
2003,Germany,Afghanistan,Asylum-seekers,2529
2003,Germany,Afghanistan,"Refugees (incl. refugee-like situations)",46975
2003,Germany,Angola,Asylum-seekers,136
2003,Germany,Angola,"Refugees (incl. refugee-like situations)",3288
2003,Germany,Albania,Asylum-seekers,106
2003,Germany,Albania,"Refugees (incl. refugee-like situations)",1929
2003,Germany,Andorra,"Refugees (incl. refugee-like situations)",7
2003,Germany,"United Arab Emirates","Refugees (incl. refugee-like situations)",6
2003,Germany,Argentina,Asylum-seekers,1
2003,Germany,Argentina,"Refugees (incl. refugee-like situations)",53
2003,Germany,Armenia,Asylum-seekers,405
2003,Germany,Armenia,"Refugees (incl. refugee-like situations)",4893
2003,Germany,Australia,"Refugees (incl. refugee-like situations)",12
2003,Germany,Austria,"Refugees (incl. refugee-like situations)",53
2003,Germany,Azerbaijan,Asylum-seekers,620
2003,Germany,Azerbaijan,"Refugees (incl. refugee-like situations)",8330
2003,Germany,Burundi,Asylum-seekers,17
2003,Germany,Burundi,"Refugees (incl. refugee-like situations)",283
2003,Germany,Belgium,"Refugees (incl. refugee-like situations)",16
2003,Germany,Benin,Asylum-seekers,8
2003,Germany,Benin,"Refugees (incl. refugee-like situations)",215
2003,Germany,"Burkina Faso",Asylum-seekers,31
2003,Germany,"Burkina Faso","Refugees (incl. refugee-like situations)",710
2003,Germany,Bangladesh,Asylum-seekers,54
2003,Germany,Bangladesh,"Refugees (incl. refugee-like situations)",577
2003,Germany,Bulgaria,Asylum-seekers,88
2003,Germany,Bulgaria,"Refugees (incl. refugee-like situations)",993
2003,Germany,Bahrain,"Refugees (incl. refugee-like situations)",6
2003,Germany,"Bosnia and Herzegovina",Asylum-seekers,318
2003,Germany,"Bosnia and Herzegovina","Refugees (incl. refugee-like situations)",38688
2003,Germany,"Bosnia and Herzegovina",Returnees,827
2003,Germany,Belarus,Asylum-seekers,168
2003,Germany,Belarus,"Refugees (incl. refugee-like situations)",2973
2003,Germany,Belize,"Refugees (incl. refugee-like situations)",1
2003,Germany,"Bolivia (Plurinational State of)","Refugees (incl. refugee-like situations)",62
2003,Germany,Brazil,"Refugees (incl. refugee-like situations)",164
2003,Germany,Barbados,"Refugees (incl. refugee-like situations)",2
2003,Germany,Bhutan,Asylum-seekers,16
2003,Germany,Bhutan,"Refugees (incl. refugee-like situations)",204
2003,Germany,Botswana,"Refugees (incl. refugee-like situations)",3
2003,Germany,"Central African Rep.",Asylum-seekers,3
2003,Germany,"Central African Rep.","Refugees (incl. refugee-like situations)",20
2003,Germany,Canada,"Refugees (incl. refugee-like situations)",43
2003,Germany,Switzerland,"Refugees (incl. refugee-like situations)",12
2003,Germany,Chile,"Refugees (incl. refugee-like situations)",984
2003,Germany,China,Asylum-seekers,431
2003,Germany,China,"Refugees (incl. refugee-like situations)",6940
2003,Germany,"Côte d'Ivoire",Asylum-seekers,146
2003,Germany,"Côte d'Ivoire","Refugees (incl. refugee-like situations)",664
2003,Germany,Cameroon,Asylum-seekers,238
2003,Germany,Cameroon,"Refugees (incl. refugee-like situations)",1742
2003,Germany,"Dem. Rep. of the Congo",Asylum-seekers,482
2003,Germany,"Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)",7096
2003,Germany,Congo,Asylum-seekers,21
2003,Germany,Congo,"Refugees (incl. refugee-like situations)",901
2003,Germany,Colombia,Asylum-seekers,9
2003,Germany,Colombia,"Refugees (incl. refugee-like situations)",214
2003,Germany,Comoros,"Refugees (incl. refugee-like situations)",6
2003,Germany,"Cabo Verde","Refugees (incl. refugee-like situations)",7
2003,Germany,"Costa Rica","Refugees (incl. refugee-like situations)",4
2003,Germany,Cuba,Asylum-seekers,11
2003,Germany,Cuba,"Refugees (incl. refugee-like situations)",449
2003,Germany,Cyprus,"Refugees (incl. refugee-like situations)",3
2003,Germany,"Czech Rep.",Asylum-seekers,2
2003,Germany,"Czech Rep.","Refugees (incl. refugee-like situations)",5640
2003,Germany,Djibouti,"Refugees (incl. refugee-like situations)",9
2003,Germany,Denmark,"Refugees (incl. refugee-like situations)",5
2003,Germany,"Dominican Rep.","Refugees (incl. refugee-like situations)",45
2003,Germany,Algeria,Asylum-seekers,292
2003,Germany,Algeria,"Refugees (incl. refugee-like situations)",3727
2003,Germany,Ecuador,Asylum-seekers,2
2003,Germany,Ecuador,"Refugees (incl. refugee-like situations)",100
2003,Germany,Egypt,Asylum-seekers,38
2003,Germany,Egypt,"Refugees (incl. refugee-like situations)",1314
2003,Germany,Eritrea,Asylum-seekers,320
2003,Germany,Eritrea,"Refugees (incl. refugee-like situations)",2754
2003,Germany,Spain,"Refugees (incl. refugee-like situations)",40
2003,Germany,Estonia,Asylum-seekers,2
2003,Germany,Estonia,"Refugees (incl. refugee-like situations)",637
2003,Germany,Ethiopia,Asylum-seekers,151
2003,Germany,Ethiopia,"Refugees (incl. refugee-like situations)",7966
2003,Germany,Finland,"Refugees (incl. refugee-like situations)",6
2003,Germany,Fiji,Asylum-seekers,1
2003,Germany,Fiji,"Refugees (incl. refugee-like situations)",4
2003,Germany,France,"Refugees (incl. refugee-like situations)",59
2003,Germany,Gabon,Asylum-seekers,2
2003,Germany,Gabon,"Refugees (incl. refugee-like situations)",22
2003,Germany,"United Kingdom","Refugees (incl. refugee-like situations)",47
2003,Germany,Georgia,Asylum-seekers,363
2003,Germany,Georgia,"Refugees (incl. refugee-like situations)",2701
2003,Germany,Ghana,Asylum-seekers,72
2003,Germany,Ghana,"Refugees (incl. refugee-like situations)",1435
2003,Germany,Guinea,Asylum-seekers,113
2003,Germany,Guinea,"Refugees (incl. refugee-like situations)",814
2003,Germany,Gambia,Asylum-seekers,22
2003,Germany,Gambia,"Refugees (incl. refugee-like situations)",180
2003,Germany,Guinea-Bissau,Asylum-seekers,8
2003,Germany,Guinea-Bissau,"Refugees (incl. refugee-like situations)",59
2003,Germany,"Equatorial Guinea",Asylum-seekers,2
2003,Germany,"Equatorial Guinea","Refugees (incl. refugee-like situations)",57
2003,Germany,Greece,Asylum-seekers,2
2003,Germany,Greece,"Refugees (incl. refugee-like situations)",214
2003,Germany,Guatemala,"Refugees (incl. refugee-like situations)",5
2003,Germany,Guyana,"Refugees (incl. refugee-like situations)",1
2003,Germany,Honduras,Asylum-seekers,1
2003,Germany,Honduras,"Refugees (incl. refugee-like situations)",14
2003,Germany,Croatia,Asylum-seekers,4
2003,Germany,Croatia,"Refugees (incl. refugee-like situations)",3812
2003,Germany,Haiti,Asylum-seekers,9
2003,Germany,Haiti,"Refugees (incl. refugee-like situations)",15
2003,Germany,Hungary,Asylum-seekers,31
2003,Germany,Hungary,"Refugees (incl. refugee-like situations)",2349
2003,Germany,Indonesia,Asylum-seekers,12
2003,Germany,Indonesia,"Refugees (incl. refugee-like situations)",83
2003,Germany,India,Asylum-seekers,358
2003,Germany,India,"Refugees (incl. refugee-like situations)",3158
2003,Germany,Ireland,"Refugees (incl. refugee-like situations)",6
2003,Germany,"Iran (Islamic Rep. of)",Asylum-seekers,1509
2003,Germany,"Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",47131
2003,Germany,Iraq,Asylum-seekers,2794
2003,Germany,Iraq,"Refugees (incl. refugee-like situations)",73489
2003,Germany,Iceland,"Refugees (incl. refugee-like situations)",11
2003,Germany,Israel,Asylum-seekers,38
2003,Germany,Israel,"Refugees (incl. refugee-like situations)",388
2003,Germany,Italy,"Refugees (incl. refugee-like situations)",179
2003,Germany,Jamaica,Asylum-seekers,2
2003,Germany,Jamaica,"Refugees (incl. refugee-like situations)",13
2003,Germany,Jordan,Asylum-seekers,23
2003,Germany,Jordan,"Refugees (incl. refugee-like situations)",575
2003,Germany,Japan,"Refugees (incl. refugee-like situations)",12
2003,Germany,Kazakhstan,Asylum-seekers,34
2003,Germany,Kazakhstan,"Refugees (incl. refugee-like situations)",3706
2003,Germany,Kenya,Asylum-seekers,6
2003,Germany,Kenya,"Refugees (incl. refugee-like situations)",227
2003,Germany,Kyrgyzstan,Asylum-seekers,3
2003,Germany,Kyrgyzstan,"Refugees (incl. refugee-like situations)",2242
2003,Germany,Cambodia,Asylum-seekers,9
2003,Germany,Cambodia,"Refugees (incl. refugee-like situations)",248
2003,Germany,Kiribati,"Refugees (incl. refugee-like situations)",1
2003,Germany,"Rep. of Korea",Asylum-seekers,2
2003,Germany,"Rep. of Korea","Refugees (incl. refugee-like situations)",144
2003,Germany,Kuwait,Asylum-seekers,7
2003,Germany,Kuwait,"Refugees (incl. refugee-like situations)",34
2003,Germany,"Lao People's Dem. Rep.",Asylum-seekers,5
2003,Germany,"Lao People's Dem. Rep.","Refugees (incl. refugee-like situations)",421
2003,Germany,Lebanon,Asylum-seekers,211
2003,Germany,Lebanon,"Refugees (incl. refugee-like situations)",18410
2003,Germany,Liberia,Asylum-seekers,425
2003,Germany,Liberia,"Refugees (incl. refugee-like situations)",815
2003,Germany,Libya,Asylum-seekers,54
2003,Germany,Libya,"Refugees (incl. refugee-like situations)",535
2003,Germany,"Sri Lanka",Asylum-seekers,140
2003,Germany,"Sri Lanka","Refugees (incl. refugee-like situations)",15121
2003,Germany,Lesotho,"Refugees (incl. refugee-like situations)",3
2003,Germany,Lithuania,Asylum-seekers,12
2003,Germany,Lithuania,"Refugees (incl. refugee-like situations)",1282
2003,Germany,Latvia,Asylum-seekers,4
2003,Germany,Latvia,"Refugees (incl. refugee-like situations)",2451
2003,Germany,Morocco,Asylum-seekers,55
2003,Germany,Morocco,"Refugees (incl. refugee-like situations)",927
2003,Germany,Monaco,"Refugees (incl. refugee-like situations)",1
2003,Germany,"Rep. of Moldova",Asylum-seekers,42
2003,Germany,"Rep. of Moldova","Refugees (incl. refugee-like situations)",5641
2003,Germany,Madagascar,"Refugees (incl. refugee-like situations)",7
2003,Germany,Mexico,"Refugees (incl. refugee-like situations)",11
2003,Germany,"The former Yugoslav Republic of Macedonia",Asylum-seekers,165
2003,Germany,"The former Yugoslav Republic of Macedonia","Refugees (incl. refugee-like situations)",3198
2003,Germany,Mali,Asylum-seekers,7
2003,Germany,Mali,"Refugees (incl. refugee-like situations)",164
2003,Germany,Myanmar,Asylum-seekers,66
2003,Germany,Myanmar,"Refugees (incl. refugee-like situations)",420
2003,Germany,Mongolia,Asylum-seekers,30
2003,Germany,Mongolia,"Refugees (incl. refugee-like situations)",171
2003,Germany,Mozambique,Asylum-seekers,1
2003,Germany,Mozambique,"Refugees (incl. refugee-like situations)",74
2003,Germany,Mauritania,Asylum-seekers,20
2003,Germany,Mauritania,"Refugees (incl. refugee-like situations)",67
2003,Germany,Mauritius,"Refugees (incl. refugee-like situations)",7
2003,Germany,Malawi,"Refugees (incl. refugee-like situations)",11
2003,Germany,Malaysia,Asylum-seekers,1
2003,Germany,Malaysia,"Refugees (incl. refugee-like situations)",23
2003,Germany,Namibia,"Refugees (incl. refugee-like situations)",11
2003,Germany,Niger,Asylum-seekers,16
2003,Germany,Niger,"Refugees (incl. refugee-like situations)",396
2003,Germany,Nigeria,Asylum-seekers,256
2003,Germany,Nigeria,"Refugees (incl. refugee-like situations)",1509
2003,Germany,Nicaragua,"Refugees (incl. refugee-like situations)",8
2003,Germany,Netherlands,Asylum-seekers,1
2003,Germany,Netherlands,"Refugees (incl. refugee-like situations)",38
2003,Germany,Norway,"Refugees (incl. refugee-like situations)",4
2003,Germany,Nepal,Asylum-seekers,81
2003,Germany,Nepal,"Refugees (incl. refugee-like situations)",483
2003,Germany,"New Zealand","Refugees (incl. refugee-like situations)",1
2003,Germany,Oman,"Refugees (incl. refugee-like situations)",2
2003,Germany,Pakistan,Asylum-seekers,467
2003,Germany,Pakistan,"Refugees (incl. refugee-like situations)",9161
2003,Germany,Panama,"Refugees (incl. refugee-like situations)",3
2003,Germany,Peru,Asylum-seekers,2
2003,Germany,Peru,"Refugees (incl. refugee-like situations)",312
2003,Germany,Philippines,"Refugees (incl. refugee-like situations)",125
2003,Germany,"Papua New Guinea","Refugees (incl. refugee-like situations)",2
2003,Germany,Poland,Asylum-seekers,11
2003,Germany,Poland,"Refugees (incl. refugee-like situations)",13769
2003,Germany,"Dem. People's Rep. of Korea",Asylum-seekers,6
2003,Germany,"Dem. People's Rep. of Korea","Refugees (incl. refugee-like situations)",258
2003,Germany,Portugal,Asylum-seekers,1
2003,Germany,Portugal,"Refugees (incl. refugee-like situations)",44
2003,Germany,Paraguay,Asylum-seekers,1
2003,Germany,Paraguay,"Refugees (incl. refugee-like situations)",15
2003,Germany,Palestinian,Asylum-seekers,12
2003,Germany,Qatar,"Refugees (incl. refugee-like situations)",9
2003,Germany,Romania,Asylum-seekers,14
2003,Germany,Romania,"Refugees (incl. refugee-like situations)",4053
2003,Germany,"Russian Federation",Asylum-seekers,2440
2003,Germany,"Russian Federation","Refugees (incl. refugee-like situations)",45568
2003,Germany,Rwanda,Asylum-seekers,24
2003,Germany,Rwanda,"Refugees (incl. refugee-like situations)",529
2003,Germany,"Saudi Arabia",Asylum-seekers,1
2003,Germany,"Saudi Arabia","Refugees (incl. refugee-like situations)",70
2003,Germany,Sudan,Asylum-seekers,119
2003,Germany,Sudan,"Refugees (incl. refugee-like situations)",1312
